plane,angle_deg,kx,ky,kz,q,A_proj,force_factor
XZ,35.5,0.814116,0,0.580703,0.702533,68613.5,116817
YZ,35.5,0,0.814116,0.580703,0.921807,29483.1,56660.8
XY,36,0.809017,0.587785,0,0.736072,80872.5,140400
XZ,36,0.809017,0,0.587785,0.702852,68276.3,116264
YZ,36,0,0.809017,0.587785,0.921785,29391,56483.1
XY,36.5,0.803857,0.594823,0,0.736875,80680.9,140133
XZ,36.5,0.803857,0,0.594823,0.703174,67933.9,115703
YZ,36.5,0,0.803857,0.594823,0.92176,29296.6,56301
XY,37,0.798636,0.601815,0,0.737682,80483.2,139854
XZ,37,0.798636,0,0.601815,0.703499,67586.3,115133
YZ,37,0,0.798636,0.601815,0.921732,29200,56114.5
XY,37.5,0.793353,0.608761,0,0.738493,80279.3,139565
XZ,37.5,0.793353,0,0.608761,0.703829,67233.6,114555
YZ,37.5,0,0.793353,0.608761,0.921701,29101.1,55923.7
XY,38,0.788011,0.615661,0,0.739307,80069.3,139265
XZ,38,0.788011,0,0.615661,0.704161,66875.8,113967
YZ,38,0,0.788011,0.615661,0.921666,29000.1,55728.5
XY,38.5,0.782608,0.622515,0,0.740125,79853.2,138955
XZ,38.5,0.782608,0,0.622515,0.704498,66512.8,113371
YZ,38.5,0,0.782608,0.622515,0.921627,28896.8,55528.9
XY,39,0.777146,0.62932,0,0.740947,79631.1,138634
XZ,39,0.777146,0,0.62932,0.704839,66144.8,112766
YZ,39,0,0.777146,0.62932,0.921584,28791.4,55325
XY,39.5,0.771625,0.636078,0,0.741773,79402.9,138302
XZ,39.5,0.771625,0,0.636078,0.705185,65771.8,112153
YZ,39.5,0,0.771625,0.636078,0.921538,28683.7,55116.8
XY,40,0.766044,0.642788,0,0.742604,79168.6,137960
XZ,40,0.766044,0,0.642788,0.705535,65393.7,111531
YZ,40,0,0.766044,0.642788,0.921488,28573.9,54904.3
XY,40.5,0.760406,0.649448,0,0.74344,78928.3,137607
XZ,40.5,0.760406,0,0.649448,0.705889,65010.7,110901
YZ,40.5,0,0.760406,0.649448,0.921434,28461.9,54687.6
XY,41,0.75471,0.656059,0,0.74428,78682,137243
XZ,41,0.75471,0,0.656059,0.706249,64622.7,110262
YZ,41,0,0.75471,0.656059,0.921375,28347.7,54466.5
XY,41.5,0.748956,0.66262,0,0.745125,78429.7,136870
XZ,41.5,0.748956,0,0.66262,0.706613,64229.8,109616
YZ,41.5,0,0.748956,0.66262,0.921313,28231.3,54241.2
XY,42,0.743145,0.669131,0,0.745976,78171.5,136485
XZ,42,0.743145,0,0.669131,0.706983,63832.1,108960
YZ,42,0,0.743145,0.669131,0.921246,28112.9,54011.7
XY,42.5,0.737277,0.67559,0,0.746833,77907.2,136091
XZ,42.5,0.737277,0,0.67559,0.707359,63429.4,108297
YZ,42.5,0,0.737277,0.67559,0.921174,27992.2,53777.9
XY,43,0.731354,0.681998,0,0.747695,77637.1,135686
XZ,43,0.731354,0,0.681998,0.70774,63021.9,107625
YZ,43,0,0.731354,0.681998,0.921098,27869.5,53540
XY,43.5,0.725374,0.688355,0,0.748563,77361,135271
XZ,43.5,0.725374,0,0.688355,0.708127,62609.6,106945
YZ,43.5,0,0.725374,0.688355,0.921018,27744.6,53297.8
XY,44,0.71934,0.694658,0,0.749438,77079,134845
XZ,44,0.71934,0,0.694658,0.708521,62192.6,106257
YZ,44,0,0.71934,0.694658,0.920933,27617.6,53051.5
XY,44.5,0.71325,0.700909,0,0.75032,76791.2,134409
XZ,44.5,0.71325,0,0.700909,0.708921,61770.8,105561
YZ,44.5,0,0.71325,0.700909,0.920843,27488.5,52801
XY,45,0.707107,0.707107,0,0.751208,76497.5,133963
XZ,45,0.707107,0,0.707107,0.709329,61344.3,104858
YZ,45,0,0.707107,0.707107,0.920748,27357.3,52546.4
XY,45.5,0.700909,0.71325,0,0.752104,76198,133507
XZ,45.5,0.700909,0,0.71325,0.709743,60913.2,104146
YZ,45.5,0,0.700909,0.71325,0.920648,27224,52287.7
XY,46,0.694658,0.71934,0,0.753007,75892.7,133041
XZ,46,0.694658,0,0.71934,0.710165,60477.4,103426
YZ,46,0,0.694658,0.71934,0.920543,27088.7,52024.9
XY,46.5,0.688355,0.725374,0,0.753919,75581.7,132564
XZ,46.5,0.688355,0,0.725374,0.710595,60037,102699
YZ,46.5,0,0.688355,0.725374,0.920432,26951.2,51758
XY,47,0.681998,0.731354,0,0.754838,75264.8,132078
XZ,47,0.681998,0,0.731354,0.711033,59592,101964
YZ,47,0,0.681998,0.731354,0.920317,26811.8,51487.1
XY,47.5,0.67559,0.737277,0,0.755767,74942.2,131581
XZ,47.5,0.67559,0,0.737277,0.71148,59142.5,101221
YZ,47.5,0,0.67559,0.737277,0.920195,26670.3,51212.1
XY,48,0.669131,0.743145,0,0.756704,74614,131075
XZ,48,0.669131,0,0.743145,0.711936,58688.5,100471
YZ,48,0,0.669131,0.743145,0.920069,26526.7,50933.2
XY,48.5,0.66262,0.748956,0,0.75765,74280,130558
XZ,48.5,0.66262,0,0.748956,0.712401,58230,99713
YZ,48.5,0,0.66262,0.748956,0.919936,26381.2,50650.2
XY,49,0.656059,0.75471,0,0.758607,73940.4,130032
XZ,49,0.656059,0,0.75471,0.712876,57767,98947.8
YZ,49,0,0.656059,0.75471,0.919798,26233.6,50363.2
XY,49.5,0.649448,0.760406,0,0.759573,73595.1,129496
XZ,49.5,0.649448,0,0.760406,0.713361,57299.7,98175.1
YZ,49.5,0,0.649448,0.760406,0.919653,26084,50072.3
XY,50,0.642788,0.766044,0,0.76055,73244.3,128950
XZ,50,0.642788,0,0.766044,0.713857,56828,97395.1
YZ,50,0,0.642788,0.766044,0.919503,25932.5,49777.5
XY,50.5,0.636078,0.771625,0,0.761537,72887.9,128395
XZ,50.5,0.636078,0,0.771625,0.714364,56352,96607.9
YZ,50.5,0,0.636078,0.771625,0.919347,25779,49478.8
XY,51,0.62932,0.777146,0,0.762537,72525.9,127829
XZ,51,0.62932,0,0.777146,0.714882,55871.7,95813.4
YZ,51,0,0.62932,0.777146,0.919184,25623.5,49176.2
