sample,kx,ky,kz,q,A_proj,force_factor
266,-0.668202,-0.41095,-0.620182,0.432282,68226.5,97719.6
267,-0.896697,0.43393,0.0874021,0.382734,84221.2,116455
268,-0.550507,-0.786388,-0.280244,0.513628,65684.9,99422.6
269,0.478644,0.304662,-0.823457,0.754593,53533.3,93929.1
270,-0.637776,0.6635,-0.391165,0.490269,73349.4,109310
271,0.882672,-0.467582,0.0475167,0.719474,81304.3,139801
272,-0.455722,0.784634,0.420317,0.581379,63003.5,99632.5
273,-0.0563326,0.998396,0.0055859,0.90476,34483.6,65683
274,0.875666,0.237842,0.420286,0.713091,79187.2,135655
275,-0.582184,0.811141,-0.0557782,0.518283,70577.9,107157
276,0.695371,-0.661419,0.281041,0.746088,73634.9,128573
277,0.00430215,0.96238,0.271672,0.921926,31609.2,60750.5
278,-0.473056,0.71445,-0.515538,0.565475,62998.9,98623.2
279,0.00709898,0.577918,0.816064,0.919033,24968.8,47915.9
280,0.0908155,0.213797,0.972648,0.868225,21915.1,40942.3
281,0.147763,0.590423,0.793452,0.864757,36138.8,67390.2
282,-0.9379,0.316177,0.142742,0.357665,84395.1,114580
283,0.318318,0.539666,0.779381,0.805088,47816.2,86312.5
284,0.914288,0.377266,0.14747,0.717242,84041.2,144319
285,-0.904425,-0.261106,0.337401,0.352552,80607.1,109025
286,-0.42886,0.618542,0.658396,0.57743,57955.7,91421.1
287,-0.71972,0.101702,0.686774,0.370529,65507.8,89780.3
288,-0.217561,0.690684,0.689654,0.742507,43799.5,76320.9
289,-0.12795,-0.34918,-0.928279,0.791055,26832.5,48058.5
290,-0.257433,0.955706,0.142669,0.722058,50177,86407.7
291,0.107079,-0.710721,-0.695276,0.884504,32402.9,61063.5
292,-0.390842,-0.080953,-0.916891,0.483587,40535.5,60137.9
293,-0.386122,-0.920064,-0.066276,0.602236,54373.1,87118.5
294,0.78217,-0.554668,0.283819,0.733717,77714.9,134736
295,-0.524638,0.326862,0.786077,0.479362,57811.9,85524.7
296,-0.248039,0.563603,-0.787926,0.698907,43101.9,73226.2
297,0.0073589,0.670115,0.742221,0.921219,27123.3,52109.7
298,-0.739522,0.104085,0.665037,0.366574,66947,91488
299,0.290565,-0.508613,-0.810484,0.804096,42555.2,76773.7
300,0.278164,0.233957,-0.931606,0.787581,36662.4,65537.1
301,0.702647,-0.637315,0.316413,0.744734,73893.2,128924
302,0.978516,-0.0709024,-0.193597,0.693919,79897.3,135339
303,-0.818116,0.567391,-0.0935664,0.419319,82100.5,116527
304,-0.832287,-0.365714,0.416595,0.383818,78295.4,108347
305,0.0381582,0.867327,-0.496275,0.918434,33260,63807.2
306,0.762774,-0.24119,0.600002,0.719401,70925.9,121950
307,0.532369,0.839275,0.110458,0.778315,67772.4,120521
308,0.166549,0.891554,0.42118,0.867633,43445.8,81140.8
309,0.541002,0.236051,-0.807216,0.74066,56204.8,97833.4
310,0.832921,0.13689,-0.536194,0.709682,73732.3,126059
311,-0.0888637,-0.736975,0.670053,0.867613,31574.2,58968.3
312,0.0365082,-0.839101,0.54275,0.918272,28955.7,55544.9
313,-0.915095,0.378262,0.139713,0.37219,84444.1,115873
314,0.0825449,-0.901068,0.42575,0.898948,33124.5,62901.7
315,-0.734187,-0.257766,-0.628113,0.390168,69565.7,96707.9
316,0.748038,-0.663253,-0.0231075,0.738809,75566.9,131396
317,0.687064,-0.660966,0.301774,0.747083,73153.2,127805
318,0.0395051,-0.114075,-0.992686,0.902755,14414.6,27427.5
319,0.551661,0.228448,0.802173,0.739226,56887.6,98940.4
320,-0.0592436,0.762017,-0.644841,0.898974,33025.8,62715.1
321,-0.291879,0.0980273,-0.951418,0.564645,33936.2,53098
322,0.95378,0.219088,0.205679,0.704782,82874.1,141282
323,-0.851846,-0.39772,-0.340847,0.382332,79943.3,110508
324,-0.421048,-0.686474,0.592851,0.572226,55707.3,87584.4
325,-0.428515,0.901261,-0.0640549,0.598628,61288.4,97977.4
326,-0.273124,-0.546125,-0.791929,0.660216,42105.3,69903.9
