wavelength_nm,irradiance_W_m2_nm
2025.9999999999998,0.1115
2028.0,0.1107
2029.9999999999998,0.10859999999999999
2032.0,0.1098
2033.9999999999998,0.1092
2036.0,0.1083
2037.9999999999998,0.10640000000000001
2040.0,0.10779999999999999
2041.9999999999998,0.1076
2044.0,0.1076
2045.9999999999998,0.1071
2048.0,0.10629999999999999
2050.0,0.10590000000000001
2052.0,0.1047
2054.0,0.1046
2056.0,0.1046
2058.0,0.104
2060.0,0.1028
2062.0,0.1023
2064.0,0.1005
2066.0,0.1025
2068.0,0.1019
2070.0,0.1003
2072.0,0.1004
2074.0,0.1009
2076.0,0.1006
2078.0,0.1
2080.0,0.09878
2082.0,0.09864
2084.0,0.09772
2086.0,0.09852
2088.0,0.09834999999999999
2090.0,0.09788
2092.0,0.09567
2094.0,0.09593
2096.0,0.0958
2098.0,0.09620000000000001
2100.0,0.09606
2102.0,0.09577
2104.0,0.09559000000000001
2106.0,0.09573999999999999
2108.0,0.09512999999999999
2110.0,0.09395999999999999
2112.0,0.09451999999999999
2114.0,0.09436
2116.0,0.09331
2118.0,0.09311
2120.0,0.09275
2122.0,0.09275
2124.0,0.09189
2126.0,0.09208
2128.0,0.09225
2130.0,0.09209
2132.0,0.09209999999999999
2134.0,0.09154999999999999
2136.0,0.09012
2138.0,0.0911
2140.0,0.09083
2142.0,0.09064
2144.0,0.09006
2146.0,0.08939
2148.0,0.08979000000000001
2150.0,0.08957
2152.0,0.08913
2154.0,0.08878
2156.0,0.08874
2158.0,0.08842
2160.0,0.08781
2162.0,0.08685999999999999
2164.0,0.08456
2166.0,0.07848999999999999
2168.0,0.083
2170.0,0.08557
2172.0,0.08591
2174.0,0.08592
2176.0,0.08532
2178.0,0.08425
2180.0,0.08497
2182.0,0.08425
2184.0,0.08456999999999999
2186.0,0.08465
2188.0,0.08277
2190.0,0.08304
2192.0,0.08377
2194.0,0.08349
2196.0,0.08318
2198.0,0.08299
2200.0,0.08265
2202.0,0.0823
2204.0,0.08211
2206.0,0.07966
2208.0,0.07966
2210.0,0.0808
2212.0,0.08105
2214.0,0.08072
2216.0,0.07994
2218.0,0.07970000000000001
2220.0,0.07997
2222.0,0.07962000000000001
2224.0,0.07926000000000001
2226.0,0.07811
2228.0,0.07826000000000001
2230.0,0.07831
2232.0,0.07815000000000001
2234.0,0.07801999999999999
2236.0,0.07758
2238.0,0.07648
2240.0,0.07639
2242.0,0.07642
2244.0,0.07623999999999999
2246.0,0.07612000000000001
2248.0,0.0752
2250.0,0.07540999999999999
2252.0,0.07512
2254.0,0.07402
2256.0,0.07422
2258.0,0.07440999999999999
2260.0,0.07421
2262.0,0.07299
2264.0,0.07329000000000001
2266.0,0.07315
2268.0,0.07327
2270.0,0.07297
2272.0,0.07277
2274.0,0.07252
2276.0,0.07239
2278.0,0.07242
2280.0,0.07165
2282.0,0.07007
2284.0,0.07125
2286.0,0.07124
2288.0,0.07127
2290.0,0.0711
2292.0,0.07067
2294.0,0.0692
2296.0,0.06908
2298.0,0.06919
2300.0,0.06953
2302.0,0.06955
2304.0,0.06931
2306.0,0.06923
2308.0,0.06901
2310.0,0.0687
2312.0,0.06867
2314.0,0.06826
2316.0,0.06779
2318.0,0.06745
2320.0,0.06768
2322.0,0.06675
2324.0,0.06536
2326.0,0.06559000000000001
2328.0,0.06629
2330.0,0.06616
